dt,estacion,concentracion
2019-01-01 00:00:00,55,94.0
2019-01-01 00:00:00,59,53.0
2019-01-01 00:00:00,11,95.0
2019-01-01 00:00:00,35,87.0
2019-01-01 00:00:00,58,29.0
2019-01-01 00:00:00,16,80.0
2019-01-01 00:00:00,48,82.0
2019-01-01 00:00:00,27,70.0
2019-01-01 00:00:00,57,84.0
2019-01-01 00:00:00,47,74.0
2019-01-01 00:00:00,39,96.0
2019-01-01 00:00:00,38,117.0
2019-01-01 00:00:00,4,73.0
2019-01-01 00:00:00,40,133.0
2019-01-01 00:00:00,8,110.0
2019-01-01 00:00:00,36,100.0
2019-01-01 00:00:00,60,73.0
2019-01-01 00:00:00,18,67.0
2019-01-01 00:00:00,50,105.0
2019-01-01 00:00:00,56,77.0
2019-01-01 00:00:00,49,86.0
2019-01-01 00:00:00,17,115.0
2019-01-01 00:00:00,24,60.0
2019-01-01 01:00:00,56,73.0
2019-01-01 01:00:00,11,68.0
2019-01-01 01:00:00,58,36.0
2019-01-01 01:00:00,24,54.0
2019-01-01 01:00:00,17,100.0
2019-01-01 01:00:00,57,71.0
2019-01-01 01:00:00,18,63.0
2019-01-01 01:00:00,16,53.0
2019-01-01 01:00:00,35,73.0
2019-01-01 01:00:00,39,84.0
2019-01-01 01:00:00,50,66.0
2019-01-01 01:00:00,40,78.0
2019-01-01 01:00:00,47,61.0
2019-01-01 01:00:00,49,74.0
2019-01-01 01:00:00,27,47.0
2019-01-01 01:00:00,48,65.0
2019-01-01 01:00:00,59,26.0
2019-01-01 01:00:00,60,65.0
2019-01-01 01:00:00,36,64.0
2019-01-01 01:00:00,55,56.0
2019-01-01 01:00:00,38,104.0
2019-01-01 01:00:00,8,79.0
2019-01-01 01:00:00,4,60.0
2019-01-01 02:00:00,18,67.0
2019-01-01 02:00:00,39,90.0
2019-01-01 02:00:00,47,59.0
2019-01-01 02:00:00,40,85.0
2019-01-01 02:00:00,60,62.0
2019-01-01 02:00:00,36,73.0
2019-01-01 02:00:00,27,41.0
2019-01-01 02:00:00,38,116.0
2019-01-01 02:00:00,24,52.0
2019-01-01 02:00:00,35,66.0
2019-01-01 02:00:00,8,76.0
2019-01-01 02:00:00,11,73.0
2019-01-01 02:00:00,56,82.0
2019-01-01 02:00:00,48,56.0
2019-01-01 02:00:00,55,58.0
2019-01-01 02:00:00,57,62.0
2019-01-01 02:00:00,16,44.0
2019-01-01 02:00:00,58,36.0
2019-01-01 02:00:00,59,19.0
2019-01-01 02:00:00,49,54.0
2019-01-01 02:00:00,50,65.0
2019-01-01 02:00:00,4,74.0
2019-01-01 02:00:00,17,113.0
2019-01-01 03:00:00,39,103.0
2019-01-01 03:00:00,17,121.0
2019-01-01 03:00:00,49,51.0
2019-01-01 03:00:00,40,87.0
2019-01-01 03:00:00,47,63.0
2019-01-01 03:00:00,36,73.0
2019-01-01 03:00:00,48,57.0
2019-01-01 03:00:00,18,62.0
2019-01-01 03:00:00,38,146.0
2019-01-01 03:00:00,55,62.0
2019-01-01 03:00:00,35,63.0
2019-01-01 03:00:00,11,70.0
2019-01-01 03:00:00,56,72.0
2019-01-01 03:00:00,24,51.0
2019-01-01 03:00:00,16,54.0
2019-01-01 03:00:00,4,80.0
2019-01-01 03:00:00,27,33.0
2019-01-01 03:00:00,59,17.0
2019-01-01 03:00:00,60,57.0
2019-01-01 03:00:00,50,71.0
2019-01-01 03:00:00,57,69.0
2019-01-01 03:00:00,8,85.0
2019-01-01 03:00:00,58,33.0
2019-01-01 04:00:00,40,78.0
2019-01-01 04:00:00,27,40.0
2019-01-01 04:00:00,39,101.0
2019-01-01 04:00:00,38,109.0
2019-01-01 04:00:00,47,62.0
2019-01-01 04:00:00,58,28.0
2019-01-01 04:00:00,57,64.0
2019-01-01 04:00:00,56,66.0
2019-01-01 04:00:00,48,56.0
2019-01-01 04:00:00,49,56.0
2019-01-01 04:00:00,59,19.0
2019-01-01 04:00:00,18,57.0
2019-01-01 04:00:00,50,71.0
2019-01-01 04:00:00,35,67.0
2019-01-01 04:00:00,55,49.0
2019-01-01 04:00:00,24,52.0
2019-01-01 04:00:00,60,58.0
2019-01-01 04:00:00,36,65.0
2019-01-01 04:00:00,4,67.0
2019-01-01 04:00:00,16,43.0
2019-01-01 04:00:00,8,81.0
2019-01-01 04:00:00,11,66.0
2019-01-01 04:00:00,17,116.0
2019-01-01 05:00:00,57,38.0
2019-01-01 05:00:00,11,34.0
2019-01-01 05:00:00,39,94.0
2019-01-01 05:00:00,17,102.0
2019-01-01 05:00:00,50,45.0
2019-01-01 05:00:00,8,68.0
2019-01-01 05:00:00,56,64.0
2019-01-01 05:00:00,55,55.0
2019-01-01 05:00:00,4,56.0
2019-01-01 05:00:00,18,55.0
2019-01-01 05:00:00,16,42.0
2019-01-01 05:00:00,35,66.0
2019-01-01 05:00:00,60,50.0
2019-01-01 05:00:00,48,50.0
2019-01-01 05:00:00,40,69.0
2019-01-01 05:00:00,38,75.0
2019-01-01 05:00:00,36,61.0
2019-01-01 05:00:00,59,15.0
2019-01-01 05:00:00,47,54.0
2019-01-01 05:00:00,58,22.0
2019-01-01 05:00:00,49,59.0
2019-01-01 05:00:00,24,51.0
2019-01-01 05:00:00,27,38.0
2019-01-01 06:00:00,59,11.0
2019-01-01 06:00:00,56,56.0
2019-01-01 06:00:00,38,75.0
2019-01-01 06:00:00,57,42.0
2019-01-01 06:00:00,36,37.0
2019-01-01 06:00:00,39,87.0
2019-01-01 06:00:00,60,40.0
2019-01-01 06:00:00,55,62.0
2019-01-01 06:00:00,58,19.0
2019-01-01 06:00:00,50,50.0
2019-01-01 06:00:00,49,41.0
2019-01-01 06:00:00,48,43.0
2019-01-01 06:00:00,47,49.0
2019-01-01 06:00:00,40,72.0
2019-01-01 06:00:00,35,58.0
2019-01-01 06:00:00,4,48.0
2019-01-01 06:00:00,18,45.0
2019-01-01 06:00:00,24,49.0
2019-01-01 06:00:00,27,33.0
2019-01-01 06:00:00,17,94.0
2019-01-01 06:00:00,11,41.0
2019-01-01 06:00:00,16,20.0
2019-01-01 06:00:00,8,50.0
2019-01-01 07:00:00,47,44.0
2019-01-01 07:00:00,11,39.0
2019-01-01 07:00:00,40,57.0
2019-01-01 07:00:00,50,44.0
2019-01-01 07:00:00,55,59.0
2019-01-01 07:00:00,49,38.0
2019-01-01 07:00:00,48,41.0
2019-01-01 07:00:00,4,45.0
2019-01-01 07:00:00,56,56.0
2019-01-01 07:00:00,35,60.0
2019-01-01 07:00:00,8,55.0
2019-01-01 07:00:00,60,43.0
