dt,estacion,concentracion
2019-01-01 00:00:00,8,3.65
2019-01-01 00:00:00,58,4.93
2019-01-01 00:00:00,27,2.67
2019-01-01 00:00:00,16,2.37
2019-01-01 00:00:00,24,2.81
2019-01-01 00:00:00,35,6.87
2019-01-01 00:00:00,39,2.05
2019-01-01 00:00:00,59,1.58
2019-01-01 00:00:00,18,0.97
2019-01-01 00:00:00,56,3.14
2019-01-01 00:00:00,49,2.32
2019-01-01 00:00:00,60,2.53
2019-01-01 00:00:00,17,6.8
2019-01-01 01:00:00,8,3.84
2019-01-01 01:00:00,24,3.11
2019-01-01 01:00:00,16,5.23
2019-01-01 01:00:00,56,3.08
2019-01-01 01:00:00,18,7.01
2019-01-01 01:00:00,27,4.41
2019-01-01 01:00:00,60,3.31
2019-01-01 01:00:00,39,2.46
2019-01-01 01:00:00,49,2.46
2019-01-01 01:00:00,58,3.09
2019-01-01 01:00:00,59,16.3
2019-01-01 01:00:00,35,6.88
2019-01-01 01:00:00,17,7.54
2019-01-01 02:00:00,39,2.53
2019-01-01 02:00:00,60,3.09
2019-01-01 02:00:00,17,7.24
2019-01-01 02:00:00,35,7.0
2019-01-01 02:00:00,27,7.31
2019-01-01 02:00:00,18,1.38
2019-01-01 02:00:00,24,3.41
2019-01-01 02:00:00,16,8.46
2019-01-01 02:00:00,8,3.61
2019-01-01 02:00:00,56,3.05
2019-01-01 02:00:00,59,21.5
2019-01-01 02:00:00,49,2.11
2019-01-01 02:00:00,58,5.35
2019-01-01 03:00:00,17,7.18
2019-01-01 03:00:00,18,0.98
2019-01-01 03:00:00,39,2.3
2019-01-01 03:00:00,24,3.22
2019-01-01 03:00:00,27,10.78
2019-01-01 03:00:00,8,3.73
2019-01-01 03:00:00,56,3.13
2019-01-01 03:00:00,59,23.29
2019-01-01 03:00:00,35,6.55
2019-01-01 03:00:00,49,1.87
2019-01-01 03:00:00,60,2.59
2019-01-01 03:00:00,16,4.0
2019-01-01 03:00:00,58,1.81
2019-01-01 04:00:00,24,3.27
2019-01-01 04:00:00,58,1.64
2019-01-01 04:00:00,39,2.2
2019-01-01 04:00:00,27,2.93
2019-01-01 04:00:00,49,1.78
2019-01-01 04:00:00,59,21.05
2019-01-01 04:00:00,35,6.89
2019-01-01 04:00:00,60,2.75
2019-01-01 04:00:00,18,1.47
2019-01-01 04:00:00,56,3.02
2019-01-01 04:00:00,17,7.72
2019-01-01 04:00:00,8,3.64
2019-01-01 04:00:00,16,10.17
2019-01-01 05:00:00,8,5.28
2019-01-01 05:00:00,16,7.41
2019-01-01 05:00:00,49,1.77
2019-01-01 05:00:00,17,6.79
2019-01-01 05:00:00,56,2.98
2019-01-01 05:00:00,59,22.94
2019-01-01 05:00:00,35,7.04
2019-01-01 05:00:00,60,2.81
2019-01-01 05:00:00,39,1.92
2019-01-01 05:00:00,18,1.37
2019-01-01 05:00:00,24,3.29
2019-01-01 05:00:00,58,2.89
2019-01-01 05:00:00,27,5.59
2019-01-01 06:00:00,59,26.73
2019-01-01 06:00:00,56,2.79
2019-01-01 06:00:00,39,1.98
2019-01-01 06:00:00,60,4.98
2019-01-01 06:00:00,35,6.72
2019-01-01 06:00:00,49,1.58
2019-01-01 06:00:00,58,3.72
2019-01-01 06:00:00,24,2.87
2019-01-01 06:00:00,17,6.81
2019-01-01 06:00:00,18,1.22
2019-01-01 06:00:00,8,11.88
2019-01-01 06:00:00,27,6.29
2019-01-01 06:00:00,16,29.4
2019-01-01 07:00:00,49,4.53
2019-01-01 07:00:00,8,7.97
2019-01-01 07:00:00,60,6.09
2019-01-01 07:00:00,35,6.91
2019-01-01 07:00:00,56,2.87
2019-01-01 07:00:00,59,21.26
2019-01-01 07:00:00,58,4.35
2019-01-01 07:00:00,17,6.8
2019-01-01 07:00:00,24,2.71
2019-01-01 07:00:00,39,1.88
2019-01-01 07:00:00,18,1.23
2019-01-01 07:00:00,16,16.86
2019-01-01 07:00:00,27,1.64
2019-01-01 08:00:00,49,1.66
2019-01-01 08:00:00,8,9.32
2019-01-01 08:00:00,58,7.6
2019-01-01 08:00:00,59,15.16
2019-01-01 08:00:00,35,6.87
2019-01-01 08:00:00,60,6.96
2019-01-01 08:00:00,24,2.59
2019-01-01 08:00:00,27,2.2
2019-01-01 08:00:00,16,6.37
2019-01-01 08:00:00,56,2.82
2019-01-01 08:00:00,17,6.8
2019-01-01 08:00:00,39,4.85
2019-01-01 08:00:00,18,1.08
2019-01-01 09:00:00,8,8.78
2019-01-01 09:00:00,49,1.79
2019-01-01 09:00:00,39,1.68
2019-01-01 09:00:00,24,2.38
2019-01-01 09:00:00,27,1.73
2019-01-01 09:00:00,58,2.18
2019-01-01 09:00:00,16,15.92
2019-01-01 09:00:00,59,26.7
2019-01-01 09:00:00,60,7.26
2019-01-01 09:00:00,17,6.51
2019-01-01 09:00:00,35,6.8
2019-01-01 09:00:00,18,0.89
2019-01-01 09:00:00,56,2.86
2019-01-01 10:00:00,8,17.29
2019-01-01 10:00:00,18,2.64
2019-01-01 10:00:00,35,7.49
2019-01-01 10:00:00,27,3.52
2019-01-01 10:00:00,49,4.01
2019-01-01 10:00:00,24,4.38
2019-01-01 10:00:00,56,4.39
2019-01-01 10:00:00,60,13.13
2019-01-01 10:00:00,39,2.46
2019-01-01 10:00:00,17,6.76
2019-01-01 10:00:00,59,22.03
2019-01-01 10:00:00,16,31.45
2019-01-01 10:00:00,58,6.17
2019-01-01 11:00:00,35,9.24
2019-01-01 11:00:00,49,23.15
2019-01-01 11:00:00,18,6.01
2019-01-01 11:00:00,60,22.39
2019-01-01 11:00:00,24,7.35
2019-01-01 11:00:00,58,12.15
2019-01-01 11:00:00,39,6.88
2019-01-01 11:00:00,56,8.9
2019-01-01 11:00:00,27,17.09
2019-01-01 11:00:00,8,27.47
2019-01-01 11:00:00,17,8.16
2019-01-01 11:00:00,59,30.81
2019-01-01 11:00:00,16,35.75
2019-01-01 12:00:00,58,19.31
2019-01-01 12:00:00,27,25.05
2019-01-01 12:00:00,59,35.7
2019-01-01 12:00:00,24,16.59
2019-01-01 12:00:00,56,17.69
2019-01-01 12:00:00,17,14.69
2019-01-01 12:00:00,35,12.5
2019-01-01 12:00:00,16,35.79
2019-01-01 12:00:00,60,34.7
2019-01-01 12:00:00,18,15.46
2019-01-01 12:00:00,8,31.95
2019-01-01 12:00:00,39,33.29
2019-01-01 12:00:00,49,27.96
2019-01-01 13:00:00,39,23.73
2019-01-01 13:00:00,16,40.97
2019-01-01 13:00:00,17,27.36
2019-01-01 13:00:00,8,34.52
2019-01-01 13:00:00,18,27.24
2019-01-01 13:00:00,24,22.52
2019-01-01 13:00:00,27,37.32
2019-01-01 13:00:00,35,17.82
2019-01-01 13:00:00,60,44.1
2019-01-01 13:00:00,59,45.19
2019-01-01 13:00:00,58,34.37
2019-01-01 13:00:00,56,26.02
2019-01-01 13:00:00,49,22.15
2019-01-01 14:00:00,24,34.92
2019-01-01 14:00:00,59,42.51
2019-01-01 14:00:00,18,31.73
2019-01-01 14:00:00,39,27.19
2019-01-01 14:00:00,27,34.69
2019-01-01 14:00:00,58,36.82
2019-01-01 14:00:00,49,15.01
2019-01-01 14:00:00,16,39.52
2019-01-01 14:00:00,60,45.51
2019-01-01 14:00:00,35,25.09
2019-01-01 14:00:00,8,27.48
2019-01-01 14:00:00,17,32.74
2019-01-01 14:00:00,56,34.18
2019-01-01 15:00:00,58,38.95
2019-01-01 15:00:00,49,26.08
2019-01-01 15:00:00,27,36.06
2019-01-01 15:00:00,24,39.91
2019-01-01 15:00:00,60,39.62
2019-01-01 15:00:00,8,30.57
2019-01-01 15:00:00,17,35.85
2019-01-01 15:00:00,16,35.73
2019-01-01 15:00:00,59,37.59
2019-01-01 15:00:00,35,33.89
2019-01-01 15:00:00,18,35.78
2019-01-01 15:00:00,39,21.49
2019-01-01 15:00:00,56,35.66
2019-01-01 16:00:00,60,38.08
2019-01-01 16:00:00,17,39.78
2019-01-01 16:00:00,35,35.48
2019-01-01 16:00:00,49,25.31
2019-01-01 16:00:00,27,32.0
2019-01-01 16:00:00,58,36.21
2019-01-01 16:00:00,18,39.63
2019-01-01 16:00:00,8,30.85
2019-01-01 16:00:00,16,30.21
2019-01-01 16:00:00,39,18.41
2019-01-01 16:00:00,59,33.12
2019-01-01 16:00:00,24,37.77
2019-01-01 16:00:00,56,38.96
2019-01-01 17:00:00,18,31.04
2019-01-01 17:00:00,60,38.39
2019-01-01 17:00:00,59,29.92
2019-01-01 17:00:00,8,27.66
2019-01-01 17:00:00,27,24.03
