dt,estacion,concentracion
2019-01-01 00:00:00,57,19.0
2019-01-01 00:00:00,8,46.0
2019-01-01 00:00:00,38,40.0
2019-01-01 00:00:00,24,22.0
2019-01-01 00:00:00,40,50.0
2019-01-01 00:00:00,36,61.0
2019-01-01 00:00:00,47,35.0
2019-01-01 00:00:00,50,39.0
2019-01-01 00:00:00,60,14.0
2019-01-01 00:00:00,55,37.0
2019-01-01 00:00:00,18,19.0
2019-01-01 01:00:00,57,39.0
2019-01-01 01:00:00,24,26.0
2019-01-01 01:00:00,8,32.0
2019-01-01 01:00:00,18,727.0
2019-01-01 01:00:00,38,45.0
2019-01-01 01:00:00,40,126.0
2019-01-01 01:00:00,47,26.0
2019-01-01 01:00:00,50,26.0
2019-01-01 01:00:00,60,42.0
2019-01-01 01:00:00,55,20.0
2019-01-01 01:00:00,36,32.0
2019-01-01 02:00:00,40,86.0
2019-01-01 02:00:00,60,46.0
2019-01-01 02:00:00,18,400.0
2019-01-01 02:00:00,36,63.0
2019-01-01 02:00:00,38,83.0
2019-01-01 02:00:00,24,20.0
2019-01-01 02:00:00,47,39.0
2019-01-01 02:00:00,50,37.0
2019-01-01 02:00:00,57,45.0
2019-01-01 02:00:00,55,28.0
2019-01-01 02:00:00,8,105.0
2019-01-01 03:00:00,38,82.0
2019-01-01 03:00:00,36,56.0
2019-01-01 03:00:00,40,47.0
2019-01-01 03:00:00,18,42.0
2019-01-01 03:00:00,24,25.0
2019-01-01 03:00:00,47,44.0
2019-01-01 03:00:00,55,28.0
2019-01-01 03:00:00,50,43.0
2019-01-01 03:00:00,57,38.0
2019-01-01 03:00:00,8,91.0
2019-01-01 03:00:00,60,25.0
2019-01-01 04:00:00,24,31.0
2019-01-01 04:00:00,38,70.0
2019-01-01 04:00:00,36,32.0
2019-01-01 04:00:00,40,36.0
2019-01-01 04:00:00,57,37.0
2019-01-01 04:00:00,60,26.0
2019-01-01 04:00:00,55,24.0
2019-01-01 04:00:00,18,46.0
2019-01-01 04:00:00,47,35.0
2019-01-01 04:00:00,50,39.0
2019-01-01 04:00:00,8,43.0
2019-01-01 05:00:00,8,31.0
2019-01-01 05:00:00,55,23.0
2019-01-01 05:00:00,50,22.0
2019-01-01 05:00:00,57,8.0
2019-01-01 05:00:00,18,30.0
2019-01-01 05:00:00,47,26.0
2019-01-01 05:00:00,60,17.0
2019-01-01 05:00:00,36,20.0
2019-01-01 05:00:00,40,33.0
2019-01-01 05:00:00,38,63.0
2019-01-01 05:00:00,24,37.0
2019-01-01 06:00:00,38,25.0
2019-01-01 06:00:00,57,7.0
2019-01-01 06:00:00,36,17.0
2019-01-01 06:00:00,60,7.0
2019-01-01 06:00:00,55,20.0
2019-01-01 06:00:00,50,8.0
2019-01-01 06:00:00,47,19.0
2019-01-01 06:00:00,40,23.0
2019-01-01 06:00:00,8,19.0
2019-01-01 06:00:00,24,42.0
2019-01-01 06:00:00,18,21.0
2019-01-01 07:00:00,55,24.0
2019-01-01 07:00:00,8,16.0
2019-01-01 07:00:00,40,16.0
2019-01-01 07:00:00,47,19.0
2019-01-01 07:00:00,50,13.0
2019-01-01 07:00:00,18,20.0
2019-01-01 07:00:00,38,27.0
2019-01-01 07:00:00,57,10.0
2019-01-01 07:00:00,60,7.0
2019-01-01 07:00:00,36,12.0
2019-01-01 07:00:00,24,37.0
2019-01-01 08:00:00,47,20.0
2019-01-01 08:00:00,55,26.0
2019-01-01 08:00:00,8,18.0
2019-01-01 08:00:00,57,7.0
2019-01-01 08:00:00,50,10.0
2019-01-01 08:00:00,36,13.0
2019-01-01 08:00:00,60,10.0
2019-01-01 08:00:00,24,30.0
2019-01-01 08:00:00,38,33.0
2019-01-01 08:00:00,40,9.0
2019-01-01 08:00:00,18,20.0
2019-01-01 09:00:00,36,17.0
2019-01-01 09:00:00,47,19.0
2019-01-01 09:00:00,50,9.0
2019-01-01 09:00:00,24,36.0
2019-01-01 09:00:00,38,18.0
2019-01-01 09:00:00,18,19.0
2019-01-01 09:00:00,40,16.0
2019-01-01 09:00:00,57,8.0
2019-01-01 09:00:00,60,6.0
2019-01-01 09:00:00,55,19.0
2019-01-01 09:00:00,8,15.0
2019-01-01 10:00:00,55,23.0
2019-01-01 10:00:00,8,16.0
2019-01-01 10:00:00,40,17.0
2019-01-01 10:00:00,57,14.0
2019-01-01 10:00:00,24,24.0
