,estacion,concentracion,dt
1,38,37.0,2019-04-01 00:00:00
3,56,41.0,2019-04-01 00:00:00
6,36,30.0,2019-04-01 00:00:00
12,35,30.0,2019-04-01 00:00:00
15,57,52.0,2019-04-01 00:00:00
20,58,27.0,2019-04-01 00:00:00
21,27,58.0,2019-04-01 00:00:00
23,17,18.0,2019-04-01 00:00:00
27,59,56.0,2019-04-01 00:00:00
32,50,51.0,2019-04-01 00:00:00
34,11,47.0,2019-04-01 00:00:00
36,47,24.0,2019-04-01 00:00:00
38,16,55.0,2019-04-01 00:00:00
43,40,33.0,2019-04-01 00:00:00
44,54,30.0,2019-04-01 00:00:00
46,8,61.0,2019-04-01 00:00:00
48,48,51.0,2019-04-01 00:00:00
52,39,58.0,2019-04-01 00:00:00
53,4,48.0,2019-04-01 00:00:00
54,55,55.0,2019-04-01 00:00:00
61,24,17.0,2019-04-01 00:00:00
62,18,17.0,2019-04-01 00:00:00
69,49,38.0,2019-04-01 00:00:00
75,60,60.0,2019-04-01 00:00:00
78,47,19.0,2019-04-01 01:00:00
83,16,11.0,2019-04-01 01:00:00
84,27,29.0,2019-04-01 01:00:00
85,8,22.0,2019-04-01 01:00:00
86,48,6.0,2019-04-01 01:00:00
88,40,23.0,2019-04-01 01:00:00
94,36,19.0,2019-04-01 01:00:00
97,38,16.0,2019-04-01 01:00:00
101,35,16.0,2019-04-01 01:00:00
105,39,13.0,2019-04-01 01:00:00
106,11,11.0,2019-04-01 01:00:00
108,49,10.0,2019-04-01 01:00:00
113,58,5.0,2019-04-01 01:00:00
117,59,9.0,2019-04-01 01:00:00
119,60,10.0,2019-04-01 01:00:00
124,24,13.0,2019-04-01 01:00:00
126,57,9.0,2019-04-01 01:00:00
129,18,19.0,2019-04-01 01:00:00
130,50,14.0,2019-04-01 01:00:00
134,17,27.0,2019-04-01 01:00:00
135,54,17.0,2019-04-01 01:00:00
138,55,37.0,2019-04-01 01:00:00
143,56,36.0,2019-04-01 01:00:00
151,4,17.0,2019-04-01 01:00:00
152,50,10.0,2019-04-01 02:00:00
154,49,19.0,2019-04-01 02:00:00
157,48,7.0,2019-04-01 02:00:00
159,47,24.0,2019-04-01 02:00:00
164,39,13.0,2019-04-01 02:00:00
173,60,10.0,2019-04-01 02:00:00
175,59,10.0,2019-04-01 02:00:00
177,58,4.0,2019-04-01 02:00:00
178,54,11.0,2019-04-01 02:00:00
183,56,32.0,2019-04-01 02:00:00
186,55,11.0,2019-04-01 02:00:00
187,57,8.0,2019-04-01 02:00:00
188,38,13.0,2019-04-01 02:00:00
189,40,17.0,2019-04-01 02:00:00
193,17,20.0,2019-04-01 02:00:00
198,11,10.0,2019-04-01 02:00:00
202,8,28.0,2019-04-01 02:00:00
205,4,18.0,2019-04-01 02:00:00
209,18,19.0,2019-04-01 02:00:00
210,16,18.0,2019-04-01 02:00:00
212,36,22.0,2019-04-01 02:00:00
216,35,17.0,2019-04-01 02:00:00
224,24,10.0,2019-04-01 02:00:00
227,27,12.0,2019-04-01 02:00:00
229,49,10.0,2019-04-01 03:00:00
232,48,7.0,2019-04-01 03:00:00
237,40,11.0,2019-04-01 03:00:00
239,39,7.0,2019-04-01 03:00:00
243,47,18.0,2019-04-01 03:00:00
245,60,7.0,2019-04-01 03:00:00
251,59,6.0,2019-04-01 03:00:00
253,58,4.0,2019-04-01 03:00:00
254,54,12.0,2019-04-01 03:00:00
259,56,29.0,2019-04-01 03:00:00
262,55,7.0,2019-04-01 03:00:00
263,57,7.0,2019-04-01 03:00:00
264,38,12.0,2019-04-01 03:00:00
