,estacion,concentracion,dt
0,60,36.68,2019-04-01 00:00:00
5,56,70.65,2019-04-01 00:00:00
11,35,53.24,2019-04-01 00:00:00
19,27,33.25,2019-04-01 00:00:00
24,58,39.68,2019-04-01 00:00:00
25,24,76.04,2019-04-01 00:00:00
37,8,49.43,2019-04-01 00:00:00
49,39,36.4,2019-04-01 00:00:00
50,54,60.41,2019-04-01 00:00:00
55,49,45.81,2019-04-01 00:00:00
59,16,9.97,2019-04-01 00:00:00
64,59,34.2,2019-04-01 00:00:00
68,18,86.88,2019-04-01 00:00:00
70,17,79.67,2019-04-01 00:00:00
91,39,54.47,2019-04-01 01:00:00
100,8,52.98,2019-04-01 01:00:00
107,35,39.94,2019-04-01 01:00:00
110,49,58.41,2019-04-01 01:00:00
114,18,60.96,2019-04-01 01:00:00
115,58,64.03,2019-04-01 01:00:00
118,59,51.52,2019-04-01 01:00:00
122,60,63.11,2019-04-01 01:00:00
123,24,58.13,2019-04-01 01:00:00
127,16,47.54,2019-04-01 01:00:00
133,27,36.39,2019-04-01 01:00:00
136,54,51.39,2019-04-01 01:00:00
137,17,47.97,2019-04-01 01:00:00
144,56,51.47,2019-04-01 01:00:00
153,49,46.23,2019-04-01 02:00:00
163,39,52.25,2019-04-01 02:00:00
169,54,50.61,2019-04-01 02:00:00
171,60,59.55,2019-04-01 02:00:00
174,59,46.33,2019-04-01 02:00:00
176,58,61.24,2019-04-01 02:00:00
182,56,49.16,2019-04-01 02:00:00
192,17,48.63,2019-04-01 02:00:00
195,16,40.77,2019-04-01 02:00:00
199,8,44.74,2019-04-01 02:00:00
211,18,57.84,2019-04-01 02:00:00
215,35,36.11,2019-04-01 02:00:00
219,27,48.37,2019-04-01 02:00:00
221,24,54.6,2019-04-01 02:00:00
228,49,49.64,2019-04-01 03:00:00
238,39,54.56,2019-04-01 03:00:00
246,54,44.39,2019-04-01 03:00:00
248,60,58.79,2019-04-01 03:00:00
250,59,46.56,2019-04-01 03:00:00
252,58,60.75,2019-04-01 03:00:00
258,56,48.38,2019-04-01 03:00:00
268,17,55.04,2019-04-01 03:00:00
271,16,40.62,2019-04-01 03:00:00
275,8,50.96,2019-04-01 03:00:00
285,18,53.37,2019-04-01 03:00:00
290,35,40.15,2019-04-01 03:00:00
296,24,53.99,2019-04-01 03:00:00
302,27,42.5,2019-04-01 03:00:00
304,49,53.41,2019-04-01 04:00:00
315,39,50.61,2019-04-01 04:00:00
324,60,57.53,2019-04-01 04:00:00
328,59,47.43,2019-04-01 04:00:00
330,58,61.91,2019-04-01 04:00:00
335,56,57.41,2019-04-01 04:00:00
339,54,46.66,2019-04-01 04:00:00
346,16,41.33,2019-04-01 04:00:00
349,8,53.73,2019-04-01 04:00:00
359,17,57.77,2019-04-01 04:00:00
365,35,38.64,2019-04-01 04:00:00
369,27,49.3,2019-04-01 04:00:00
377,18,63.47,2019-04-01 04:00:00
379,24,50.0,2019-04-01 04:00:00
387,39,48.11,2019-04-01 05:00:00
394,49,52.02,2019-04-01 05:00:00
399,56,55.99,2019-04-01 05:00:00
405,54,44.99,2019-04-01 05:00:00
409,59,47.72,2019-04-01 05:00:00
413,60,56.8,2019-04-01 05:00:00
415,58,61.34,2019-04-01 05:00:00
420,16,43.38,2019-04-01 05:00:00
424,8,52.42,2019-04-01 05:00:00
435,17,59.2,2019-04-01 05:00:00
440,35,36.3,2019-04-01 05:00:00
443,27,46.62,2019-04-01 05:00:00
446,24,47.28,2019-04-01 05:00:00
451,18,62.55,2019-04-01 05:00:00
470,35,39.74,2019-04-01 06:00:00
473,39,52.56,2019-04-01 06:00:00
479,54,39.08,2019-04-01 06:00:00
481,56,53.74,2019-04-01 06:00:00
493,49,52.51,2019-04-01 06:00:00
496,27,45.55,2019-04-01 06:00:00
497,16,43.1,2019-04-01 06:00:00
501,8,50.58,2019-04-01 06:00:00
504,59,47.37,2019-04-01 06:00:00
507,60,60.12,2019-04-01 06:00:00
516,17,55.95,2019-04-01 06:00:00
518,24,50.51,2019-04-01 06:00:00
526,58,58.22,2019-04-01 06:00:00
530,18,46.7,2019-04-01 06:00:00
533,39,45.07,2019-04-01 07:00:00
540,24,48.37,2019-04-01 07:00:00
542,27,34.48,2019-04-01 07:00:00
547,35,33.36,2019-04-01 07:00:00
559,60,58.4,2019-04-01 07:00:00
562,59,39.9,2019-04-01 07:00:00
564,58,41.53,2019-04-01 07:00:00
569,56,38.63,2019-04-01 07:00:00
575,54,27.47,2019-04-01 07:00:00
580,49,46.87,2019-04-01 07:00:00
586,8,39.25,2019-04-01 07:00:00
596,16,39.86,2019-04-01 07:00:00
602,18,41.53,2019-04-01 07:00:00
603,17,32.25,2019-04-01 07:00:00
614,49,34.89,2019-04-01 08:00:00
617,18,18.63,2019-04-01 08:00:00
623,16,25.06,2019-04-01 08:00:00
627,8,23.58,2019-04-01 08:00:00
632,17,27.7,2019-04-01 08:00:00
635,24,36.36,2019-04-01 08:00:00
637,39,21.3,2019-04-01 08:00:00
653,35,22.73,2019-04-01 08:00:00
657,27,18.3,2019-04-01 08:00:00
663,56,24.64,2019-04-01 08:00:00
672,58,23.24,2019-04-01 08:00:00
676,59,28.27,2019-04-01 08:00:00
679,54,10.82,2019-04-01 08:00:00
682,60,26.85,2019-04-01 08:00:00
686,24,17.67,2019-04-01 09:00:00
692,27,23.97,2019-04-01 09:00:00
697,59,14.59,2019-04-01 09:00:00
698,18,6.42,2019-04-01 09:00:00
699,60,15.53,2019-04-01 09:00:00
708,17,11.58,2019-04-01 09:00:00
711,16,15.3,2019-04-01 09:00:00
714,8,12.55,2019-04-01 09:00:00
721,54,3.92,2019-04-01 09:00:00
727,56,13.93,2019-04-01 09:00:00
731,49,20.95,2019-04-01 09:00:00
741,39,13.26,2019-04-01 09:00:00
744,35,13.06,2019-04-01 09:00:00
748,58,12.38,2019-04-01 09:00:00
761,8,13.5,2019-04-01 10:00:00
773,35,13.83,2019-04-01 10:00:00
774,49,21.27,2019-04-01 10:00:00
776,16,16.05,2019-04-01 10:00:00
786,17,13.77,2019-04-01 10:00:00
787,24,12.73,2019-04-01 10:00:00
790,27,35.53,2019-04-01 10:00:00
800,56,17.37,2019-04-01 10:00:00
805,54,16.64,2019-04-01 10:00:00
806,58,38.24,2019-04-01 10:00:00
814,60,28.58,2019-04-01 10:00:00
818,39,18.71,2019-04-01 10:00:00
831,59,35.16,2019-04-01 10:00:00
835,18,18.18,2019-04-01 10:00:00
837,27,49.07,2019-04-01 11:00:00
840,16,16.23,2019-04-01 11:00:00
843,35,19.55,2019-04-01 11:00:00
846,60,46.17,2019-04-01 11:00:00
847,24,27.21,2019-04-01 11:00:00
848,56,22.57,2019-04-01 11:00:00
854,49,24.37,2019-04-01 11:00:00
859,54,48.38,2019-04-01 11:00:00
861,17,28.19,2019-04-01 11:00:00
874,58,57.78,2019-04-01 11:00:00
877,18,33.98,2019-04-01 11:00:00
891,59,48.54,2019-04-01 11:00:00
897,8,18.22,2019-04-01 11:00:00
906,39,36.01,2019-04-01 11:00:00
917,17,53.19,2019-04-01 12:00:00
920,59,53.29,2019-04-01 12:00:00
927,16,23.65,2019-04-01 12:00:00
934,54,64.02,2019-04-01 12:00:00
936,18,29.6,2019-04-01 12:00:00
938,24,23.43,2019-04-01 12:00:00
939,8,28.55,2019-04-01 12:00:00
946,27,45.61,2019-04-01 12:00:00
949,60,58.9,2019-04-01 12:00:00
953,35,17.53,2019-04-01 12:00:00
955,56,30.65,2019-04-01 12:00:00
966,58,79.33,2019-04-01 12:00:00
983,39,43.33,2019-04-01 12:00:00
984,49,36.52,2019-04-01 12:00:00
990,59,52.16,2019-04-01 13:00:00
991,8,31.91,2019-04-01 13:00:00
1001,17,67.09,2019-04-01 13:00:00
1003,49,47.6,2019-04-01 13:00:00
1016,56,48.03,2019-04-01 13:00:00
1022,58,84.69,2019-04-01 13:00:00
1023,35,22.5,2019-04-01 13:00:00
1030,16,29.61,2019-04-01 13:00:00
1041,39,54.51,2019-04-01 13:00:00
1043,60,66.83,2019-04-01 13:00:00
1049,27,45.02,2019-04-01 13:00:00
1053,54,71.01,2019-04-01 13:00:00
1054,18,36.34,2019-04-01 13:00:00
1056,24,42.08,2019-04-01 13:00:00
1070,27,70.5,2019-04-01 14:00:00
1071,8,45.26,2019-04-01 14:00:00
1074,56,55.66,2019-04-01 14:00:00
1084,17,72.34,2019-04-01 14:00:00
1092,60,69.64,2019-04-01 14:00:00
1096,49,60.47,2019-04-01 14:00:00
1111,58,75.77,2019-04-01 14:00:00
1117,18,47.24,2019-04-01 14:00:00
1118,39,55.64,2019-04-01 14:00:00
1124,35,36.89,2019-04-01 14:00:00
1131,16,43.96,2019-04-01 14:00:00
1133,24,49.95,2019-04-01 14:00:00
1134,54,64.61,2019-04-01 14:00:00
1138,59,61.44,2019-04-01 14:00:00
1141,49,53.12,2019-04-01 15:00:00
1144,24,60.9,2019-04-01 15:00:00
1145,17,72.63,2019-04-01 15:00:00
1147,18,63.1,2019-04-01 15:00:00
1151,39,57.56,2019-04-01 15:00:00
1160,27,77.8,2019-04-01 15:00:00
1162,56,57.75,2019-04-01 15:00:00
1169,8,51.07,2019-04-01 15:00:00
1181,54,68.17,2019-04-01 15:00:00
1183,16,39.52,2019-04-01 15:00:00
1184,35,38.35,2019-04-01 15:00:00
1208,59,74.46,2019-04-01 15:00:00
1209,60,67.22,2019-04-01 15:00:00
1211,58,70.54,2019-04-01 15:00:00
1227,39,56.93,2019-04-01 16:00:00
1228,16,28.42,2019-04-01 16:00:00
1230,8,59.94,2019-04-01 16:00:00
1239,35,55.32,2019-04-01 16:00:00
1254,58,77.54,2019-04-01 16:00:00
1256,59,70.58,2019-04-01 16:00:00
1260,60,69.63,2019-04-01 16:00:00
1263,56,63.27,2019-04-01 16:00:00
1266,49,69.02,2019-04-01 16:00:00
1272,17,79.16,2019-04-01 16:00:00
1274,54,73.4,2019-04-01 16:00:00
1280,27,74.53,2019-04-01 16:00:00
1282,24,71.18,2019-04-01 16:00:00
1288,18,72.95,2019-04-01 16:00:00
1294,16,29.49,2019-04-01 17:00:00
1296,24,75.49,2019-04-01 17:00:00
1298,8,62.96,2019-04-01 17:00:00
1306,27,78.83,2019-04-01 17:00:00
1311,49,77.85,2019-04-01 17:00:00
1313,18,75.85,2019-04-01 17:00:00
1316,60,61.41,2019-04-01 17:00:00
1326,17,83.13,2019-04-01 17:00:00
1331,54,80.22,2019-04-01 17:00:00
1334,56,63.13,2019-04-01 17:00:00
1338,59,77.92,2019-04-01 17:00:00
1350,39,53.31,2019-04-01 17:00:00
1355,58,76.34,2019-04-01 17:00:00
1367,35,62.92,2019-04-01 17:00:00
1369,56,65.45,2019-04-01 18:00:00
1373,27,81.29,2019-04-01 18:00:00
1378,39,60.81,2019-04-01 18:00:00
1383,24,81.14,2019-04-01 18:00:00
1386,58,78.93,2019-04-01 18:00:00
1388,18,84.44,2019-04-01 18:00:00
1396,49,82.06,2019-04-01 18:00:00
1398,16,27.45,2019-04-01 18:00:00
1400,59,77.7,2019-04-01 18:00:00
1409,8,67.05,2019-04-01 18:00:00
1413,35,67.97,2019-04-01 18:00:00
1434,17,82.52,2019-04-01 18:00:00
1438,60,63.69,2019-04-01 18:00:00
1443,54,84.21,2019-04-01 18:00:00
1445,17,79.19,2019-04-01 19:00:00
1457,35,68.07,2019-04-01 19:00:00
1460,18,85.64,2019-04-01 19:00:00
1464,16,31.35,2019-04-01 19:00:00
1477,8,66.27,2019-04-01 19:00:00
1491,39,69.14,2019-04-01 19:00:00
1496,60,75.43,2019-04-01 19:00:00
1497,59,85.47,2019-04-01 19:00:00
1498,27,82.85,2019-04-01 19:00:00
1503,58,80.72,2019-04-01 19:00:00
1509,54,81.84,2019-04-01 19:00:00
1510,49,86.39,2019-04-01 19:00:00
1512,56,69.0,2019-04-01 19:00:00
1517,24,83.24,2019-04-01 19:00:00
1526,49,82.78,2019-04-01 20:00:00
1527,60,72.21,2019-04-01 20:00:00
1529,17,75.96,2019-04-01 20:00:00
1534,35,66.02,2019-04-01 20:00:00
1544,39,62.01,2019-04-01 20:00:00
1546,58,81.68,2019-04-01 20:00:00
1549,27,82.19,2019-04-01 20:00:00
1550,24,80.79,2019-04-01 20:00:00
1551,59,83.03,2019-04-01 20:00:00
1558,16,32.88,2019-04-01 20:00:00
1581,54,80.6,2019-04-01 20:00:00
1582,56,60.29,2019-04-01 20:00:00
1590,8,69.89,2019-04-01 20:00:00
1591,18,77.93,2019-04-01 20:00:00
1600,18,60.22,2019-04-01 21:00:00
1608,58,64.29,2019-04-01 21:00:00
1611,35,61.0,2019-04-01 21:00:00
1614,17,59.34,2019-04-01 21:00:00
1615,27,67.54,2019-04-01 21:00:00
1623,24,69.14,2019-04-01 21:00:00
1625,60,61.73,2019-04-01 21:00:00
1629,16,20.66,2019-04-01 21:00:00
1632,49,61.34,2019-04-01 21:00:00
1633,59,60.23,2019-04-01 21:00:00
1645,56,19.26,2019-04-01 21:00:00
1656,54,60.56,2019-04-01 21:00:00
1657,8,42.57,2019-04-01 21:00:00
1668,39,46.74,2019-04-01 21:00:00
1676,54,39.83,2019-04-01 22:00:00
1677,18,13.82,2019-04-01 22:00:00
1679,49,43.95,2019-04-01 22:00:00
1682,39,28.71,2019-04-01 22:00:00
1683,24,57.65,2019-04-01 22:00:00
1684,59,17.86,2019-04-01 22:00:00
1686,60,42.94,2019-04-01 22:00:00
1693,17,26.58,2019-04-01 22:00:00
1702,58,44.9,2019-04-01 22:00:00
1703,27,26.69,2019-04-01 22:00:00
1709,35,36.9,2019-04-01 22:00:00
1721,16,6.94,2019-04-01 22:00:00
1726,8,23.12,2019-04-01 22:00:00
1745,56,5.94,2019-04-01 22:00:00
1758,16,1.28,2019-04-01 23:00:00
1759,24,52.4,2019-04-01 23:00:00
1762,49,26.43,2019-04-01 23:00:00
1767,56,19.06,2019-04-01 23:00:00
1773,18,22.39,2019-04-01 23:00:00
1781,17,32.54,2019-04-01 23:00:00
1782,59,5.14,2019-04-01 23:00:00
1784,54,53.18,2019-04-01 23:00:00
1795,27,11.25,2019-04-01 23:00:00
1796,8,16.77,2019-04-01 23:00:00
1808,35,12.35,2019-04-01 23:00:00
1812,60,25.72,2019-04-01 23:00:00
1818,39,6.65,2019-04-01 23:00:00
1822,58,41.42,2019-04-01 23:00:00
1824,35,44.99,2019-04-02 00:00:00
1830,39,48.25,2019-04-02 00:00:00
1831,27,42.65,2019-04-02 00:00:00
1832,16,19.5,2019-04-02 00:00:00
1836,24,53.93,2019-04-02 00:00:00
1840,60,56.89,2019-04-02 00:00:00
1841,17,31.04,2019-04-02 00:00:00
1863,54,42.59,2019-04-02 00:00:00
1867,49,40.28,2019-04-02 00:00:00
1871,59,50.52,2019-04-02 00:00:00
1873,18,66.86,2019-04-02 00:00:00
1877,56,45.55,2019-04-02 00:00:00
1879,58,28.27,2019-04-02 00:00:00
1889,8,40.56,2019-04-02 00:00:00
1906,17,63.74,2019-04-02 01:00:00
1919,59,54.0,2019-04-02 01:00:00
1929,49,60.26,2019-04-02 01:00:00
1931,39,57.5,2019-04-02 01:00:00
1932,16,27.97,2019-04-02 01:00:00
1934,54,66.76,2019-04-02 01:00:00
1935,8,52.26,2019-04-02 01:00:00
1942,27,24.48,2019-04-02 01:00:00
1946,24,80.92,2019-04-02 01:00:00
1956,58,53.77,2019-04-02 01:00:00
1967,18,78.01,2019-04-02 01:00:00
1970,35,61.93,2019-04-02 01:00:00
1972,60,34.56,2019-04-02 01:00:00
1973,56,52.37,2019-04-02 01:00:00
1978,16,30.85,2019-04-02 02:00:00
1980,59,29.85,2019-04-02 02:00:00
1984,58,45.47,2019-04-02 02:00:00
1986,60,51.26,2019-04-02 02:00:00
1992,35,49.1,2019-04-02 02:00:00
2008,8,52.38,2019-04-02 02:00:00
2010,18,58.41,2019-04-02 02:00:00
2015,49,51.77,2019-04-02 02:00:00
2028,54,55.45,2019-04-02 02:00:00
2033,27,23.28,2019-04-02 02:00:00
2035,56,45.99,2019-04-02 02:00:00
2038,39,55.93,2019-04-02 02:00:00
2042,24,56.39,2019-04-02 02:00:00
2051,17,50.01,2019-04-02 02:00:00
2065,24,51.79,2019-04-02 03:00:00
2071,27,44.95,2019-04-02 03:00:00
2073,58,33.64,2019-04-02 03:00:00
2080,8,50.61,2019-04-02 03:00:00
2082,18,49.62,2019-04-02 03:00:00
2088,56,45.64,2019-04-02 03:00:00
2092,17,59.19,2019-04-02 03:00:00
2096,16,32.12,2019-04-02 03:00:00
2102,35,37.75,2019-04-02 03:00:00
2104,59,49.8,2019-04-02 03:00:00
2109,60,61.26,2019-04-02 03:00:00
2115,39,59.65,2019-04-02 03:00:00
2118,49,41.73,2019-04-02 03:00:00
2127,54,50.81,2019-04-02 03:00:00
2134,16,26.46,2019-04-02 04:00:00
2135,54,62.08,2019-04-02 04:00:00
2136,18,27.58,2019-04-02 04:00:00
