,estacion,concentracion,dt
4,36,19.0,2019-04-01 00:00:00
17,57,15.0,2019-04-01 00:00:00
22,47,10.0,2019-04-01 00:00:00
26,24,4.0,2019-04-01 00:00:00
30,55,26.0,2019-04-01 00:00:00
39,40,8.0,2019-04-01 00:00:00
40,50,20.0,2019-04-01 00:00:00
41,8,15.0,2019-04-01 00:00:00
58,38,17.0,2019-04-01 00:00:00
65,48,18.0,2019-04-01 00:00:00
66,60,43.0,2019-04-01 00:00:00
72,18,12.0,2019-04-01 00:00:00
77,40,2.0,2019-04-01 01:00:00
81,47,4.0,2019-04-01 01:00:00
93,8,10.0,2019-04-01 01:00:00
95,36,7.0,2019-04-01 01:00:00
102,38,8.0,2019-04-01 01:00:00
103,48,4.0,2019-04-01 01:00:00
109,24,1.0,2019-04-01 01:00:00
111,18,8.0,2019-04-01 01:00:00
112,57,2.0,2019-04-01 01:00:00
120,60,2.0,2019-04-01 01:00:00
132,50,10.0,2019-04-01 01:00:00
140,55,1.0,2019-04-01 01:00:00
155,48,6.0,2019-04-01 02:00:00
158,47,4.0,2019-04-01 02:00:00
161,40,3.0,2019-04-01 02:00:00
166,38,7.0,2019-04-01 02:00:00
168,50,10.0,2019-04-01 02:00:00
172,60,3.0,2019-04-01 02:00:00
179,57,2.0,2019-04-01 02:00:00
185,55,1.0,2019-04-01 02:00:00
190,36,5.0,2019-04-01 02:00:00
200,8,7.0,2019-04-01 02:00:00
213,18,4.0,2019-04-01 02:00:00
222,24,1.0,2019-04-01 02:00:00
230,48,9.0,2019-04-01 03:00:00
233,47,9.0,2019-04-01 03:00:00
236,40,3.0,2019-04-01 03:00:00
241,38,6.0,2019-04-01 03:00:00
244,50,6.0,2019-04-01 03:00:00
249,60,1.0,2019-04-01 03:00:00
255,57,1.0,2019-04-01 03:00:00
261,55,1.0,2019-04-01 03:00:00
266,36,6.0,2019-04-01 03:00:00
276,8,3.0,2019-04-01 03:00:00
286,18,8.0,2019-04-01 03:00:00
297,24,1.0,2019-04-01 03:00:00
306,48,8.0,2019-04-01 04:00:00
309,47,6.0,2019-04-01 04:00:00
312,40,2.0,2019-04-01 04:00:00
318,38,9.0,2019-04-01 04:00:00
326,60,1.0,2019-04-01 04:00:00
331,50,1.0,2019-04-01 04:00:00
338,55,1.0,2019-04-01 04:00:00
