,estacion,concentracion,dt
14,48,11.0,2019-04-01 00:00:00
29,38,9.0,2019-04-01 00:00:00
33,47,7.0,2019-04-01 00:00:00
35,50,11.0,2019-04-01 00:00:00
42,8,6.0,2019-04-01 00:00:00
45,24,5.0,2019-04-01 00:00:00
80,47,4.0,2019-04-01 01:00:00
87,48,2.0,2019-04-01 01:00:00
98,38,4.0,2019-04-01 01:00:00
99,8,8.0,2019-04-01 01:00:00
125,24,4.0,2019-04-01 01:00:00
146,50,4.0,2019-04-01 01:00:00
156,48,4.0,2019-04-01 02:00:00
160,50,5.0,2019-04-01 02:00:00
167,47,5.0,2019-04-01 02:00:00
170,38,4.0,2019-04-01 02:00:00
201,8,4.0,2019-04-01 02:00:00
223,24,4.0,2019-04-01 02:00:00
231,48,6.0,2019-04-01 03:00:00
234,47,9.0,2019-04-01 03:00:00
242,50,3.0,2019-04-01 03:00:00
247,38,5.0,2019-04-01 03:00:00
277,8,2.0,2019-04-01 03:00:00
298,24,5.0,2019-04-01 03:00:00
307,48,6.0,2019-04-01 04:00:00
310,47,7.0,2019-04-01 04:00:00
319,38,7.0,2019-04-01 04:00:00
321,50,3.0,2019-04-01 04:00:00
351,8,1.0,2019-04-01 04:00:00
373,24,7.0,2019-04-01 04:00:00
382,48,4.0,2019-04-01 05:00:00
385,47,4.0,2019-04-01 05:00:00
393,38,4.0,2019-04-01 05:00:00
406,50,1.0,2019-04-01 05:00:00
426,8,6.0,2019-04-01 05:00:00
447,24,7.0,2019-04-01 05:00:00
463,38,6.0,2019-04-01 06:00:00
483,50,2.0,2019-04-01 06:00:00
489,48,5.0,2019-04-01 06:00:00
491,47,7.0,2019-04-01 06:00:00
513,8,4.0,2019-04-01 06:00:00
520,24,4.0,2019-04-01 06:00:00
550,47,3.0,2019-04-01 07:00:00
553,38,2.0,2019-04-01 07:00:00
558,48,6.0,2019-04-01 07:00:00
573,24,2.0,2019-04-01 07:00:00
578,50,3.0,2019-04-01 07:00:00
591,8,1.0,2019-04-01 07:00:00
622,24,1.0,2019-04-01 08:00:00
628,50,2.0,2019-04-01 08:00:00
631,8,7.0,2019-04-01 08:00:00
642,38,5.0,2019-04-01 08:00:00
644,47,5.0,2019-04-01 08:00:00
651,48,3.0,2019-04-01 08:00:00
701,24,3.0,2019-04-01 09:00:00
