,estacion,concentracion,dt
2,38,10.0,2019-04-01 00:00:00
8,57,12.0,2019-04-01 00:00:00
9,36,11.0,2019-04-01 00:00:00
13,17,7.0,2019-04-01 00:00:00
18,35,13.0,2019-04-01 00:00:00
31,4,4.0,2019-04-01 00:00:00
51,8,8.0,2019-04-01 00:00:00
60,40,9.0,2019-04-01 00:00:00
67,18,11.0,2019-04-01 00:00:00
73,24,4.0,2019-04-01 00:00:00
76,36,18.0,2019-04-01 01:00:00
82,35,13.0,2019-04-01 01:00:00
89,40,10.0,2019-04-01 01:00:00
96,38,9.0,2019-04-01 01:00:00
116,24,4.0,2019-04-01 01:00:00
131,17,9.0,2019-04-01 01:00:00
139,18,10.0,2019-04-01 01:00:00
145,57,12.0,2019-04-01 01:00:00
147,4,4.0,2019-04-01 01:00:00
150,8,8.0,2019-04-01 01:00:00
162,40,9.0,2019-04-01 02:00:00
181,57,12.0,2019-04-01 02:00:00
191,18,10.0,2019-04-01 02:00:00
194,17,9.0,2019-04-01 02:00:00
196,38,9.0,2019-04-01 02:00:00
204,8,8.0,2019-04-01 02:00:00
207,4,4.0,2019-04-01 02:00:00
214,36,16.0,2019-04-01 02:00:00
218,35,13.0,2019-04-01 02:00:00
226,24,4.0,2019-04-01 02:00:00
235,40,10.0,2019-04-01 03:00:00
257,57,12.0,2019-04-01 03:00:00
267,18,10.0,2019-04-01 03:00:00
270,17,9.0,2019-04-01 03:00:00
280,8,8.0,2019-04-01 03:00:00
289,36,15.0,2019-04-01 03:00:00
293,35,13.0,2019-04-01 03:00:00
294,38,8.0,2019-04-01 03:00:00
301,24,4.0,2019-04-01 03:00:00
303,4,4.0,2019-04-01 03:00:00
314,40,10.0,2019-04-01 04:00:00
341,57,12.0,2019-04-01 04:00:00
342,38,8.0,2019-04-01 04:00:00
345,17,8.0,2019-04-01 04:00:00
354,8,8.0,2019-04-01 04:00:00
357,4,4.0,2019-04-01 04:00:00
360,18,10.0,2019-04-01 04:00:00
364,36,13.0,2019-04-01 04:00:00
368,35,13.0,2019-04-01 04:00:00
376,24,4.0,2019-04-01 04:00:00
389,40,10.0,2019-04-01 05:00:00
400,57,12.0,2019-04-01 05:00:00
416,38,8.0,2019-04-01 05:00:00
417,35,13.0,2019-04-01 05:00:00
419,17,9.0,2019-04-01 05:00:00
429,8,8.0,2019-04-01 05:00:00
432,4,4.0,2019-04-01 05:00:00
436,18,10.0,2019-04-01 05:00:00
439,36,12.0,2019-04-01 05:00:00
450,24,4.0,2019-04-01 05:00:00
465,38,8.0,2019-04-01 06:00:00
469,36,11.0,2019-04-01 06:00:00
474,40,9.0,2019-04-01 06:00:00
488,57,12.0,2019-04-01 06:00:00
509,8,8.0,2019-04-01 06:00:00
512,4,4.0,2019-04-01 06:00:00
514,35,13.0,2019-04-01 06:00:00
515,17,8.0,2019-04-01 06:00:00
